origen,destino,tipo_relacion
Arriendo!Q16,Arriendo!S16,CORE_FORMULA_REF
Arriendo!$O$4,Arriendo!S16,CORE_FORMULA_REF
Arriendo!S16,Arriendo!T16,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!T16,CORE_FORMULA_REF
Arriendo!C16,Arriendo!C17,CORE_FORMULA_REF
Arriendo!E17,Arriendo!F17,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F17,CORE_FORMULA_REF
IVA Dptos!H21,Arriendo!G17,CORE_FORMULA_REF
Arriendo!G17,Arriendo!H17,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H17,CORE_FORMULA_REF
Arriendo!H17,Arriendo!I17,CORE_FORMULA_REF
Arriendo!F17,Arriendo!J17,CORE_FORMULA_REF
Arriendo!I17,Arriendo!J17,CORE_FORMULA_REF
Arriendo!J17,Arriendo!K17,CORE_FORMULA_REF
Arriendo!F17,Arriendo!L17,CORE_FORMULA_REF
Arriendo!K17,Arriendo!L17,CORE_FORMULA_REF
Arriendo!C17,Arriendo!C18,CORE_FORMULA_REF
Arriendo!E18,Arriendo!F18,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F18,CORE_FORMULA_REF
IVA Dptos!H22,Arriendo!G18,CORE_FORMULA_REF
Arriendo!G18,Arriendo!H18,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H18,CORE_FORMULA_REF
Arriendo!H18,Arriendo!I18,CORE_FORMULA_REF
Arriendo!F18,Arriendo!J18,CORE_FORMULA_REF
Arriendo!I18,Arriendo!J18,CORE_FORMULA_REF
Arriendo!J18,Arriendo!K18,CORE_FORMULA_REF
Arriendo!F18,Arriendo!L18,CORE_FORMULA_REF
Arriendo!K18,Arriendo!L18,CORE_FORMULA_REF
Arriendo!E4:E18,Arriendo!E19,CORE_FORMULA_REF
Arriendo!F4:F18,Arriendo!F19,CORE_FORMULA_REF
Arriendo!K4:K18,Arriendo!K19,CORE_FORMULA_REF
Arriendo!F19,Arriendo!L19,CORE_FORMULA_REF
Arriendo!K19,Arriendo!L19,CORE_FORMULA_REF
Arriendo!Q4,Arriendo!Q19,CORE_FORMULA_REF
