hoja,celda,valor_mostrado,valor_real,formula,clasificacion,criticidad,dependencia_input,dependencia_output
Crédito Comercial 20A,I165,-115.19428904795318,=-K164*$D$6,=-K164*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K164; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J165,-279.49461663123,=H165-I165,=H165-I165,CALCULO,MEDIA,Crédito Comercial 20A!H165; Crédito Comercial 20A!I165,
Crédito Comercial 20A,K165,27367.134754877534,=K164+J165,=K164+J165,CALCULO,MEDIA,Crédito Comercial 20A!K164; Crédito Comercial 20A!J165,
Crédito Comercial 20A,G166,159,=G165+1,=G165+1,CALCULO,MEDIA,Crédito Comercial 20A!G165,
Crédito Comercial 20A,H166,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I166,-114.02972814532306,=-K165*$D$6,=-K165*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K165; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J166,-280.6591775338601,=H166-I166,=H166-I166,CALCULO,MEDIA,Crédito Comercial 20A!H166; Crédito Comercial 20A!I166,
Crédito Comercial 20A,K166,27086.475577343674,=K165+J166,=K165+J166,CALCULO,MEDIA,Crédito Comercial 20A!K165; Crédito Comercial 20A!J166,
Crédito Comercial 20A,G167,160,=G166+1,=G166+1,CALCULO,MEDIA,Crédito Comercial 20A!G166,
Crédito Comercial 20A,H167,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I167,-112.86031490559864,=-K166*$D$6,=-K166*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K166; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J167,-281.82859077358455,=H167-I167,=H167-I167,CALCULO,MEDIA,Crédito Comercial 20A!H167; Crédito Comercial 20A!I167,
Crédito Comercial 20A,K167,26804.64698657009,=K166+J167,=K166+J167,CALCULO,MEDIA,Crédito Comercial 20A!K166; Crédito Comercial 20A!J167,
Crédito Comercial 20A,G168,161,=G167+1,=G167+1,CALCULO,MEDIA,Crédito Comercial 20A!G167,
Crédito Comercial 20A,H168,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I168,-111.6860291107087,=-K167*$D$6,=-K167*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K167; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J168,-283.00287656847445,=H168-I168,=H168-I168,CALCULO,MEDIA,Crédito Comercial 20A!H168; Crédito Comercial 20A!I168,
Crédito Comercial 20A,K168,26521.644110001616,=K167+J168,=K167+J168,CALCULO,MEDIA,Crédito Comercial 20A!K167; Crédito Comercial 20A!J168,
Crédito Comercial 20A,G169,162,=G168+1,=G168+1,CALCULO,MEDIA,Crédito Comercial 20A!G168,
Crédito Comercial 20A,H169,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I169,-110.50685045834007,=-K168*$D$6,=-K168*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K168; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J169,-284.1820552208431,=H169-I169,=H169-I169,CALCULO,MEDIA,Crédito Comercial 20A!H169; Crédito Comercial 20A!I169,
Crédito Comercial 20A,K169,26237.46205478077,=K168+J169,=K168+J169,CALCULO,MEDIA,Crédito Comercial 20A!K168; Crédito Comercial 20A!J169,
Crédito Comercial 20A,G170,163,=G169+1,=G169+1,CALCULO,MEDIA,Crédito Comercial 20A!G169,
Crédito Comercial 20A,H170,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I170,-109.32275856158655,=-K169*$D$6,=-K169*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K169; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J170,-285.3661471175966,=H170-I170,=H170-I170,CALCULO,MEDIA,Crédito Comercial 20A!H170; Crédito Comercial 20A!I170,
Crédito Comercial 20A,K170,25952.095907663173,=K169+J170,=K169+J170,CALCULO,MEDIA,Crédito Comercial 20A!K169; Crédito Comercial 20A!J170,
Crédito Comercial 20A,G171,164,=G170+1,=G170+1,CALCULO,MEDIA,Crédito Comercial 20A!G170,
Crédito Comercial 20A,H171,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I171,-108.13373294859656,=-K170*$D$6,=-K170*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K170; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J171,-286.5551727305866,=H171-I171,=H171-I171,CALCULO,MEDIA,Crédito Comercial 20A!H171; Crédito Comercial 20A!I171,
Crédito Comercial 20A,K171,25665.540734932587,=K170+J171,=K170+J171,CALCULO,MEDIA,Crédito Comercial 20A!K170; Crédito Comercial 20A!J171,
Crédito Comercial 20A,G172,165,=G171+1,=G171+1,CALCULO,MEDIA,Crédito Comercial 20A!G171,
Crédito Comercial 20A,H172,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I172,-106.93975306221911,=-K171*$D$6,=-K171*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K171; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J172,-287.74915261696407,=H172-I172,=H172-I172,CALCULO,MEDIA,Crédito Comercial 20A!H172; Crédito Comercial 20A!I172,
Crédito Comercial 20A,K172,25377.79158231562,=K171+J172,=K171+J172,CALCULO,MEDIA,Crédito Comercial 20A!K171; Crédito Comercial 20A!J172,
Crédito Comercial 20A,G173,166,=G172+1,=G172+1,CALCULO,MEDIA,Crédito Comercial 20A!G172,
Crédito Comercial 20A,H173,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I173,-105.74079825964843,=-K172*$D$6,=-K172*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K172; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J173,-288.9481074195347,=H173-I173,=H173-I173,CALCULO,MEDIA,Crédito Comercial 20A!H173; Crédito Comercial 20A!I173,
Crédito Comercial 20A,K173,25088.843474896086,=K172+J173,=K172+J173,CALCULO,MEDIA,Crédito Comercial 20A!K172; Crédito Comercial 20A!J173,
Crédito Comercial 20A,G174,167,=G173+1,=G173+1,CALCULO,MEDIA,Crédito Comercial 20A!G173,
Crédito Comercial 20A,H174,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I174,-104.53684781206702,=-K173*$D$6,=-K173*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K173; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J174,-290.1520578671161,=H174-I174,=H174-I174,CALCULO,MEDIA,Crédito Comercial 20A!H174; Crédito Comercial 20A!I174,
Crédito Comercial 20A,K174,24798.69141702897,=K173+J174,=K173+J174,CALCULO,MEDIA,Crédito Comercial 20A!K173; Crédito Comercial 20A!J174,
Crédito Comercial 20A,G175,168,=G174+1,=G174+1,CALCULO,MEDIA,Crédito Comercial 20A!G174,
Crédito Comercial 20A,H175,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I175,-103.32788090428738,=-K174*$D$6,=-K174*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K174; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J175,-291.3610247748958,=H175-I175,=H175-I175,CALCULO,MEDIA,Crédito Comercial 20A!H175; Crédito Comercial 20A!I175,
Crédito Comercial 20A,K175,24507.330392254076,=K174+J175,=K174+J175,CALCULO,MEDIA,Crédito Comercial 20A!K174; Crédito Comercial 20A!J175,
Crédito Comercial 20A,G176,169,=G175+1,=G175+1,CALCULO,MEDIA,Crédito Comercial 20A!G175,
Crédito Comercial 20A,H176,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I176,-102.11387663439199,=-K175*$D$6,=-K175*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K175; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J176,-292.57502904479117,=H176-I176,=H176-I176,CALCULO,MEDIA,Crédito Comercial 20A!H176; Crédito Comercial 20A!I176,
Crédito Comercial 20A,K176,24214.755363209286,=K175+J176,=K175+J176,CALCULO,MEDIA,Crédito Comercial 20A!K175; Crédito Comercial 20A!J176,
